# Next line contains the total soma count (includes inactive):
152769
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
100
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
1 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
2 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
3 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
4 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
5 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
6 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
7 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
8 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
9 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
10 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
11 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
12 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
13 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
14 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
15 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
16 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
17 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
18 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
19 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
20 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
