# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
1 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
2 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
3 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
4 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
5 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
6 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
7 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
8 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
9 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
10 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
11 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
12 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
13 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
14 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 -69.800003 0 -70.000000 0 -69.800003 0 -70.000000 0 -70.000000 0 -70.000000 0 
15 -69.199997 0 -69.199997 0 -68.800003 0 -69.000000 0 -69.599998 0 -68.259201 0 -69.599998 0 -68.659203 0 -69.000000 0 -68.800003 0 -69.800003 0 
16 -63.827198 0 -61.827198 0 -62.731201 0 -58.480000 0 -63.716801 0 -59.521832 0 -63.516800 0 -58.826485 0 -65.080002 0 -62.531200 0 -66.059196 0 
17 -59.920971 0 -50.947147 0 -57.061131 0 -49.286793 0 -59.414188 0 -49.079098 0 -59.223122 0 -50.889244 0 -59.076870 0 -50.662182 0 -59.931843 0 
18 -58.747608 0 -46.047443 0 -56.236549 0 -45.182365 0 -59.582058 0 -44.063244 0 -58.967678 0 -47.581192 0 -57.596867 0 -42.827545 0 -57.145588 0 
19 -48.274323 0 -16.096403 0 -38.881569 0 -5.272152 0 -43.221352 0 -4.353055 0 -43.329617 0 -19.810308 0 -46.523548 0 -16.350016 0 -49.967155 0 
20 -22.687347 0 69.393898 1 -5.818183 0 99.824631 1 -13.045464 0 104.258667 1 -11.041869 0 63.053032 1 -17.483999 0 72.454842 1 -22.081446 0 
21 17.851320 0 98.812439 1 62.197979 1 59.131550 1 37.884846 1 39.321377 1 44.728107 1 77.042191 1 32.269058 1 154.238510 1 22.842382 0 
