# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 4 + 0 + 0 = 4.
4
# Next line contains the soma ids reported:
4 40 20839 20940 
# Next line contains the number of cycles:
20000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 4_V 4_F 40_V 40_F 20839_V 20839_F 20940_V 20940_F 
0 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
1 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
2 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
3 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
4 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
5 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
6 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
7 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
8 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
9 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
10 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
11 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
12 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
13 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
14 -70.000000 0 -70.000000 0 -70.000000 0 -70.000000 0 
15 -68.800003 0 -70.000000 0 -70.000000 0 -70.000000 0 
16 -61.731201 0 -70.000000 0 -70.000000 0 -70.000000 0 
17 -55.650379 0 -70.000000 0 -70.000000 0 -70.000000 0 
18 -54.284077 0 -70.000000 0 -70.000000 0 -70.000000 0 
19 -29.975489 0 -70.000000 0 -70.000000 0 -70.000000 0 
20 14.667192 0 -70.000000 0 -70.000000 0 -70.000000 0 
